"","A01","A02","A03","B05","B06","B07","B08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24A","C24B","C25","C26","C27","C28","C29","C301","C302T309","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO","TOTAL"
"TTL_A01",3598.965,48.202,65.856,0.025,0.007,0.005,0.738,0.001,25391.608,592.252,29.496,7.716,1.966,312.118,58.086,101.391,1.901,1.631,1.11,1.866,7.522,2.662,9.483,7.01,1.428,0.382,18.32,30.109,6.674,69.134,497.97,2.823,6.734,0.5,10.002,0.971,5426.953,3.672,1.47,1.062,3.182,11.323,61.825,45.478,59.218,72.697,180.013,38.557,57.534,0,16704.605,19.547,1.135,366.292,7.185,102.786,70.645,614.131,-9664.391,45071.583
"TTL_A02",81.253,389.784,3.315,0.179,0.007,0.01,0.493,0,246.35,16.737,1040.485,148.671,0.44,35.193,1.747,101.004,5.056,2.436,1.506,1.186,1.17,0.841,2.017,1.295,1.348,0.098,76.174,89.48,0.389,48.036,33.32,0.236,0.557,0.132,0.867,0.182,90.779,0.932,0.649,0.629,0.902,4.626,2.368,1.976,12.695,6.642,5.857,6.599,5.324,0,584.541,17.751,0.048,314.466,3.206,1.311,0.374,45.905,-356.644,3082.931
"TTL_A03",6.447,0.512,482.318,0.004,0.001,0.002,0.065,0,3038.674,1.13,0.06,0.168,0.398,3.253,0.536,0.363,0.258,0.333,0.22,0.424,0.809,0.436,0.624,0.329,0.434,0.025,0.206,0.457,0.138,1.042,46.241,0.17,2.964,0.061,0.819,0.057,1412.73,0.645,0.234,0.428,0.82,1.272,1.461,0.408,13.261,5.368,14.505,1.962,3.069,0,3020.411,4.1,0.027,1.959,1.644,5.775,5.209,429.385,-901.026,7613.625
"TTL_B05",10.28,0.513,0.224,10.841,0.156,0.463,13.587,0.053,70.444,29.291,2.359,46.17,1027.208,461.68,2.183,27.179,426.078,3702.939,461.995,6.98,6.478,13.749,15.415,12.328,8.858,2.704,1.984,8895.269,3.133,134.908,18.824,2.735,0.685,0.306,4.621,0.356,12.016,0.475,1.019,0.474,0.586,8.887,3.462,1.398,22.503,25.706,6.27,0.704,10.857,0,4.151,0.004,0.006,1.089,0.035,0.221,0.005,13.228,-15278.411,257.663
"TTL_B06",22.175,1.502,11.962,6.58,8.858,1.308,79.435,0.266,423.384,83.487,20.058,264.274,99916.754,7702.189,17.487,243.487,1072.733,2462.763,1278.393,336.859,73.271,76.88,146.656,188.862,51.211,17.797,50.079,28486.775,58.706,250.347,577.048,55.306,62.156,27.093,160.509,20.392,93.839,12.928,9.686,13.155,26.955,100.003,154.989,47.158,148.929,89.817,41.662,13.646,31.163,0,58.909,0.074,0.199,98.787,8.869,3.578,0.004,2.2,-145074.202,139.391
"TTL_B07",3.292,0.04,0.251,0.574,0.092,3.629,25.803,0.046,17.208,5.473,0.553,2.543,109.927,316.595,2.473,15.399,235.344,5557.102,5954.288,182.587,41.918,66.374,53.538,43.533,5.965,2.566,12.456,101.959,3.959,204.436,5.374,0.668,0.387,0.173,1.543,0.167,4.651,0.475,0.301,0.342,0.553,2.947,5.077,1.67,1.604,1.184,1.523,0.62,2.975,0,4.317,0.014,0.04,2.063,0.02,0.705,0,77.799,-12967.331,119.787
"TTL_B08",16.804,0.477,2.784,0.303,0.068,0.224,74.239,0.032,41.921,9.485,0.919,16.074,78.691,437.993,3.598,24.639,1134.504,397.441,122.262,21.84,15.11,16.622,14.976,12.076,2.98,0.712,10.741,88.469,23.398,1171.705,12.318,1.227,1.859,0.4,2.829,0.478,12.407,0.784,0.599,0.467,0.903,23.237,5.81,8.871,14.941,3.78,5.793,1.359,3.733,0,49.946,0.217,0.04,6.458,0.23,0.691,0.558,408.298,-1035.038,3274.282
"TTL_B09",0.334,0.02,0.11,0.014,0.016,0.004,0.214,0.001,1.587,0.51,0.098,0.545,107.919,10.581,0.186,0.9,1.897,5.637,3.395,1.071,1.265,0.652,1.045,1.165,0.269,0.102,0.258,33.075,0.202,1.838,2.654,0.365,0.874,0.369,1.635,0.156,0.867,0.173,0.234,0.208,0.295,0.445,1.112,0.392,0.595,0.383,0.451,0.161,0.268,0,3.312,0.01,1.985,70.044,0.07,0.402,0.002,15.464,-259.006,18.831
"TTL_C10T12",3937.466,6.648,543.152,0.229,0.108,0.117,6.018,0.015,25591.799,228.245,9.685,91.03,56.43,1675.932,231.353,109.085,41.698,45.397,33.723,52.044,95.638,58.62,78.033,65.606,17.17,5.8,49.644,68.427,34.438,142.309,1864.96,25.718,118.986,20.823,111.891,20.201,37649.91,116.637,54.104,69.984,135.034,138.227,290.2,115.146,388.535,691.157,1009.205,368.884,285.853,0,71645.47,112.705,1.751,193.142,30.135,331.672,262.479,8119.898,-26192.053,131256.509
"TTL_C13T15",80.13,7.745,129.249,1.055,0.318,0.362,11.107,0.046,316.518,24739.938,42.862,371.99,56.711,910.22,78.89,793.766,201.238,141.647,64.456,243.438,454.58,246.546,366.379,1644.514,193.277,45.202,1042.245,128.406,92.512,666.271,1799.421,30.164,31.797,17.394,124.752,77.735,1022.096,90.055,76.009,62.438,131.641,213.312,600.244,413.956,805.776,416.424,989.685,451.096,1080.815,0,32556.963,25.774,0.056,1131.495,106.938,113.482,167.528,11322.246,-20636.352,66294.555
"TTL_C16",48.732,14.489,7.302,0.422,0.05,0.109,4,0.008,205.428,66.979,1584.751,317.097,6.102,259.684,11.184,110.58,160.726,33.915,36.457,157.583,113.558,123.537,127.33,336.925,225.069,13.091,1321.235,78.083,11.617,4136.497,312.248,7.995,4.362,1.415,69.489,2.377,164.067,22.4,7.843,6.492,11.5,529.741,125.309,46.427,22.742,46.259,52.761,23.697,179.006,0,245.644,0.316,0.036,44.683,2.318,12.754,9.433,124.5,-2844.254,8744.1
"TTL_C17_18",76.969,2.983,27.776,0.223,0.177,0.201,5.293,0.017,3135.737,442.5,99.112,10373.317,41.616,1097.833,329.922,552.298,449.156,105.084,102.024,367.729,872.099,501.998,493.863,490.783,67.777,35.038,390.094,144.275,68.567,423.159,2664.225,35.261,57.619,10.863,183.315,160.588,890.142,3213.094,297.388,488.89,1150.03,234.811,1993.436,684.515,1066.248,1646.724,794.333,308.195,617.617,0,1851.14,1.809,0.771,196.859,16.09,43.233,35.745,4208.812,-3925.073,39624.301
"TTL_C19",2006.818,171.124,1431.323,15.1,4.754,9.015,288.532,0.99,2695.51,967.986,283.675,872.333,15568.34,24194.056,409.701,2415.459,1785.906,4667.474,997.771,1066.782,927.866,1351.595,1027.093,2084.995,321.624,88.701,520.479,7599.189,946.432,5187.094,6989.194,4272.072,8609.394,4258.403,2778.428,720.421,2090.63,328.407,392.668,353.367,936.563,655.309,2228.663,1345.439,2462.413,1156.175,1331.667,498.228,1303.164,0,5283.583,3.82,0.628,47.403,171.916,76.517,65.927,58664.787,-30634.689,156298.21
"TTL_C20",4803.421,31.782,140.016,7.712,2.167,5.143,162.678,0.379,3513.59,6843.956,656.485,3443.346,3442.11,80350.864,3063.124,26222.099,2689.168,1805.924,1230.763,2366.794,5192.153,3349.51,2189.048,4755.305,1314.599,175.354,1907.71,678.892,707.729,4149.765,1684.612,204.415,420.443,189.452,417.696,49.388,1350.433,516.131,62.431,163.185,149.758,1384.993,1785.705,748.606,486.641,726.219,2431.219,247.763,1637.882,0,8161.816,12.393,1.769,279.593,8.86,31.501,43.78,74161.96,-43537.668,219022.566
"TTL_C21",349.354,0.716,26.206,0.385,0.161,0.316,3.639,0.008,495.64,70.172,4.854,16.314,22.1,918.789,6538.011,81.391,14.955,32.245,16.954,23.755,84.106,25.567,100.816,46.644,10.079,3.485,69.206,41.847,47.78,62.862,276.278,9.472,19.861,5.985,27.481,9.32,145.809,26.675,27.187,82.542,56.486,40.547,813.007,38.079,577.087,235.406,15106.085,95.336,150.231,0,5404.261,19.659,7.578,648.791,19.106,19.678,26.867,8793.976,-8907.779,32883.365
