"","A01","A02","A03","B05","B06","B07","B08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24A","C24B","C25","C26","C27","C28","C29","C301","C302T309","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO","TOTAL"
"TTL_A01",663723.676,12506.363,8003.299,366.431,119.497,92.164,422.351,44.177,844696.514,90006.375,4022.679,774.545,29.455,30987.182,10798.675,12192.901,390.957,46.213,65.749,139.325,564.581,227.094,1140.412,239.298,28.182,63.656,3522.068,3826.492,1210.562,22108.865,40714.601,1820.313,375.276,24.509,676.154,62.223,79797.031,150.515,67.252,132.245,323.781,772.57,6572.832,4196.964,7397.905,5307.322,5553.858,1930.093,1299.701,0,489982.652,32.401,4.659,44845.329,623.88,923.428,139.877,17359.384,-97142.926,2326303.565
"TTL_A02",4097.246,37115.47,122.039,1249.693,61.831,82.979,99.816,0.715,1959.288,689.919,89920.258,7169.728,4.297,1103.432,88.39,4082.434,535.712,91.924,60.413,39.104,5.176,19.888,68.223,12.644,9.773,4.575,5199.652,4091.105,18.729,4815.665,1452.353,34.272,9.004,0.862,13.556,2.6,369.947,11.37,12.608,41.815,10.167,64.541,74.104,52.373,512.85,150.068,52.557,113.484,55.543,0,4683.115,31.694,0.255,12.66,1.167,13.505,0,106.351,-7220.487,163482.45
"TTL_A03",611.068,132.22,56878.581,61.302,1.92,40.546,29.753,0.059,92998.249,70.495,5.873,12.701,7.604,216.935,73.271,16.103,48.408,8.645,15.178,36.02,31.994,33.986,50.724,3.955,4.859,0.813,27.111,25.002,22.974,215.953,2477.493,61.07,106.122,4.228,32.486,0.207,19430.967,23.498,11.951,86.378,96.278,98.315,142.838,36.608,1595.066,364.395,505.133,81.095,86.245,0,98993.727,7.196,0.37,32.046,19.743,51.642,10.407,1469.702,-3399.195,274108.313
"TTL_B05",373.631,29.379,4.063,45898.613,855.702,2559.332,1754.629,397.168,474.898,790.223,122.389,1396.161,17988.392,9373.653,78.805,667.856,29172.678,97535.815,12385.454,191.228,124.207,408.915,428.338,147.237,48.87,130.677,78.982,244434.55,133.411,9043.176,316.097,393.115,5.67,4.887,71.084,5.35,67.231,2.875,12.761,19.244,17.021,157.284,114.506,18.978,574.257,383.692,73.909,6.962,71.637,0,2202.208,0.001,0.189,1.908,3.827,1.977,0,1084.184,-30652.279,451987.009
"TTL_B06",107.438,6.227,20.855,6633.161,11572.568,1646.324,2383.655,463.329,714.48,556.936,232.932,1855.593,426106.988,36803.461,143.663,1415.176,17264.486,15228.433,8107.996,2256.317,348.209,482.481,784.122,502.405,62.537,196.888,475.234,190166.147,530.079,3434.44,1970.156,1065.838,58.719,43.802,540.397,65.009,74.637,18.688,22.551,119.88,176.307,370.305,999.453,145.989,814.575,294.127,102.479,17.237,34.323,0,332.117,0.026,1.482,125.61,13.904,30.292,0,4288.143,-401368.59,340860.016
"TTL_B07",61.503,0.953,4.99,2844.204,565.155,23452.183,3775.001,398.45,118.896,93.879,10.643,37.543,2239.843,6651.892,53.06,132.187,17755.462,170304.968,183485.173,4597.517,319.715,806.82,909.761,227.179,11.22,31.748,349.22,3195.061,82.649,14116.141,66.42,90.565,1.864,3.238,17.13,1.579,14.641,1.162,1.167,2.348,2.427,24.962,117.467,20.459,26.274,9.706,6.114,2.119,11.752,0,8.418,0.006,1.043,4.562,0.08,6.04,0,7898.224,-207785.926,237186.859
"TTL_B08",474.528,22.898,57.408,1158.671,324.977,1113.896,8927.43,215.238,219.469,137.863,13.57,325.558,1196.469,7546.339,55.245,251.367,71935.981,9278.104,2841.92,483.677,137.451,349.966,274.196,63.074,7.172,15.582,361.664,2139.883,293.012,71330.711,93.979,81.171,20.066,0.953,21.768,1.079,19.039,0.55,1.574,1.829,1.44,249.067,68.597,127.122,225.491,14.605,8.722,3.105,4.907,0,218.934,0.007,0.546,11.106,2.291,6.091,0,3614.727,-13535.811,172816.273
"TTL_B09",26.322,1.019,121.884,4936.076,12920.39,2009.846,3829.597,3002.041,15.383,2.508,5.522,92.558,2609.654,73.293,2.793,54.563,1639.948,483.83,332.317,12.188,6.543,11.106,17.01,1.866,0.156,1.001,3.107,2081.646,14.062,2664.176,7.134,83.678,10.305,6.597,21.291,8.71,3.137,5.804,0.289,0.755,5.029,15.745,72.989,2.035,14.89,4.728,2.865,0.176,0.83,0,5.444,0.005,0.576,5.134,4.701,3.467,0,763.85,-1392.201,36630.366
"TTL_C10T12",222390.339,548.751,21055.87,814.444,449.285,331.156,759.907,75.824,369238.011,16882.771,590.743,4541.206,925.897,48439.277,11275.734,3043.925,3241.62,858.263,1077.934,2358.795,2520.142,1984.005,3247.4,701.323,146.038,328.603,2998.468,1822.274,1789.525,13036.103,60830.132,3659.659,3743.754,469.18,2150.353,307.503,253115.034,1952.005,1332.635,4517.588,6399.683,3523.618,9215.391,2862.055,16976.73,17883.987,11704.923,5865.897,3188.238,0,1058033.052,155.365,6.485,92.427,520.483,2980.04,552.693,67135.996,-95817.141,2180831.401
"TTL_C13T15",2223.026,494.674,4628.485,4548.353,1429.435,1610.711,1315.751,325.311,1858.93,955519.762,1976.161,16182.032,634.327,14475.311,2316.517,22004.753,17077.986,3204.253,1396.454,6965.353,7242.692,6875.529,10859.771,23522.301,1395.042,2638.06,50469.41,2235.777,3414.824,45988.633,27509.113,3577.992,283.769,344.797,1675.304,1427.315,6083.079,637.576,630.918,1830.846,1858.427,1560.38,18189.953,6526.32,22981.008,5726.906,12468.398,3759.779,6916.317,0,293936.232,33.248,1.71,86.073,1048.807,934.119,428.341,310968.667,-27751.438,1918503.578
"TTL_C16",979.949,471.32,94.417,976.275,132.489,318.495,271.31,29.192,962.909,1169.109,47511.042,5282.172,21.448,2823.532,193.586,1349.263,6098.592,423.415,523.427,2410.273,1234.49,1971.227,1849.379,2222.875,700.455,335.957,31496.249,1143.543,225.318,155544.695,2600.856,553.182,19.854,10.941,606.794,14.756,368.393,109.585,48.399,135.879,114.299,1854.806,2557.8,366.459,280.82,355.228,223.256,131.86,612.267,0,4872.976,0.039,4.077,93.519,51.596,113.313,21.094,16931.087,-11240.84,290578.697
"TTL_C17_18",1595.868,105.891,391.291,604.945,620.946,619.08,405.282,74.383,13334.368,7452.288,2932.609,224001.173,463.588,12715.44,7203.712,7690.945,17607.268,1600.086,1637.122,6545.347,12266.523,9316.583,8565.587,3568.57,247.662,1162.76,9596.638,2710.063,1808.827,15434.716,28808.606,3353.474,455.97,204.365,1844.958,1978.777,2108.015,12753.075,3122.777,15243.725,22922.587,2164.633,57153.757,10097.474,20274.668,17767.283,5848,2131.707,3009.803,0,37981.174,0.058,6.768,8039.421,1025.929,389.883,61.723,30804.115,-25809.735,636022.553
"TTL_C19",14238.061,2259.685,8053.36,14436.094,5876.389,11001.472,8215.982,1655.705,4075.146,3363.722,2899.947,4809.084,75578.808,100933.305,1762.769,3402.63,25305.352,27614.926,5694.526,5999.794,2894.216,7868.724,5782.755,5014.942,296.437,866.588,3793.573,57470.863,7817.521,75621.954,28803.015,147178.026,29303.989,34185.644,10256.078,2844.557,1777.572,580.142,1232.311,3690.986,6078.168,1834.434,12330.801,4102.225,14290.883,3792.296,3026.79,723.694,1805.669,0,27033.196,3.55,4.032,146.198,239.356,689.88,101.707,46102.218,-51810.298,824951.449
"TTL_C20",62637.307,521.375,751.152,10908.446,3806.532,9447.408,6951.446,893.086,10165.623,74582.445,12146.902,42661.471,19296.829,609798.329,40531.609,232777.305,62383.254,14964.052,11327.372,23723.958,40383.142,35704.704,21685.395,20416.969,2586.579,2950.544,28432.475,3872.519,9933.684,86046.241,7799.279,2326.797,355.046,238.15,1720.02,115.461,2001.705,1181.107,149.594,2274.753,990.313,3838.269,17278.806,4058.601,3308.994,3510.93,11298.161,649.906,2477.19,0,37239.702,14.436,16.587,236.586,145.813,279.487,80.274,196912.545,-153703.735,1649082.932
"TTL_C21",8926.759,17.619,434.728,1012.202,522.646,1158.702,249.727,22.231,2397.049,1110.939,109.175,158.589,106.46,11357.735,178949.175,608.974,292.681,354.802,206.037,196.446,462.569,116.642,1592.045,134.776,10.62,39.51,1877.723,402.617,1165.201,1486.699,2135.739,671.356,125.387,65.759,146.224,61.391,67.907,44.795,13.182,35.707,152.55,119.743,20808.269,246.912,10114.677,2291.441,170234.233,367.413,641.547,0,106988.793,29.622,50.522,251.34,196.149,171.78,65.398,19522.782,-34488.904,516612.791
"TTL_C22",4657.56,280.78,675.596,4427.116,1756.861,1858.202,1412.717,213.272,14950.564,17437.446,3117.404,14098.629,901.857,27592.766,8704.074,97987.795,13471.724,2452.672,2915.236,15664.383,35825.97,41086.257,35125.842,45150.055,986.929,5986.672,18410.216,1146.051,3844.363,140004.301,22784.149,14025.142,402.121,167.58,1625.642,310.088,835.293,389.135,361.502,742.203,1155.638,2394.599,7478.76,2044.01,1679.319,1365.917,2021.092,337.764,1133.044,0,11260.61,0.061,10.055,348.278,206.072,32.443,0,119598.293,-22344.721,732507.4
