"","A01","A02","A03","B05","B06","B07","B08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24A","C24B","C25","C26","C27","C28","C29","C301","C302T309","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO","TOTAL"
"TTL_A01",1650.102,17.856,8.744,0.355,0.069,0.428,0.783,0.199,349.061,17.283,2.232,0.019,0.032,1.855,1.376,0.404,0.068,0,0,0.005,0.004,0.001,0,0.001,0,0,0.699,20.2,1.017,7.484,74.559,0.798,0.014,0.041,0.029,0.089,104.488,0.308,0.18,0.032,0.402,1.891,1.615,1.485,34.792,5.34,3.012,3.577,4.41,0,511.011,0.013,5.553,198.506,6.498,1.547,2.125,1671.389,-403.045,4310.938
"TTL_A02",14.533,78.645,0.235,1.751,0.052,0.533,0.274,0.006,1.109,0.257,76.541,0.258,0.006,0.096,0.016,0.197,0.122,0,0,0.002,0,0,0,0,0,0,1.436,31.955,0.052,2.422,2.658,0.028,0.001,0.003,0.001,0.007,0.729,0.031,0.052,0.015,0.023,0.257,0.027,0.026,3.585,0.227,0.04,0.301,0.196,0,45.598,0.01,0.708,16.752,0.074,0.02,0.007,2.231,-0.286,283.82
"TTL_A03",5.766,0.778,256.58,0.241,0.005,0.72,0.227,0.002,142.526,0.119,0.012,0.001,0.024,0.051,0.037,0.002,0.033,0,0,0.005,0.001,0.001,0,0,0,0,0.024,0.542,0.164,0.323,24.584,0.115,0.016,0.031,0.006,0.003,103.502,0.178,0.131,0.083,0.476,0.966,0.165,0.042,30.828,1.498,0.957,0.65,0.909,0,98.166,0.004,0.262,0.262,0.013,0.087,0.031,0.226,-0.63,671.746
"TTL_B05",0.192,0.009,0.004,8.034,0.097,2.04,0.616,0.339,0.044,0.035,0.015,0.006,2.637,0.103,0.002,0.004,0.825,0.033,0.005,0.001,0,0,0,0,0,0,0.005,238.834,0.059,0.608,0.138,0.038,0,0.002,0.001,0.003,0.025,0.001,0.008,0.001,0.007,0.079,0.007,0.003,0.525,0.076,0.005,0.004,0.023,0,8.046,0,0.001,0.144,0.052,0.003,0.004,27.886,-0.288,291.341
"TTL_B06",0.053,0.002,0.005,0.945,0.97,1.069,0.678,0.321,0.051,0.016,0.022,0.007,50.145,0.325,0.003,0.007,0.404,0.004,0.003,0.009,0,0,0,0,0,0,0.022,149.424,0.1,0.221,0.593,0.068,0,0.013,0.004,0.015,0.019,0.005,0.011,0.005,0.033,0.139,0.037,0.012,0.581,0.046,0.005,0.007,0.019,0,16.324,0,0.38,0.164,0.017,0.054,0.006,0.153,-2.071,221.444
"TTL_B07",0.325,0.017,0.011,4.049,0.596,148.055,10.247,2.634,0.193,0.069,0.113,0.008,2.651,0.767,0.034,0.042,4.207,0.497,0.766,1.075,0.105,0.114,0.004,0.026,0.004,0.008,1.32,26.659,1.045,12.271,1.057,0.108,0.001,0.01,0.003,0.006,0.062,0.007,0.017,0.004,0.041,0.381,0.099,0.018,0.448,0.02,0.01,0.031,0.502,0,0.078,0,0.001,0.242,0.004,0.011,0.009,1047.303,-15.598,1252.787
"TTL_B08",7.764,0.225,0.437,7.413,1.229,32.174,110.273,6.435,0.56,0.112,0.044,0.052,6.414,2.965,0.039,0.043,73.586,0.117,0.042,0.086,0.005,0.007,0,0.001,0,0,0.463,76.577,1.799,162.408,1.042,0.336,0.004,0.077,0.006,0.017,0.163,0.005,0.032,0.003,0.022,4.107,0.109,0.305,7.249,0.099,0.014,0.053,0.107,0,3.871,0,0.001,0.159,0.137,0.01,0.023,82.008,-2.773,588.456
"TTL_B09",0.161,0.004,0.312,10.83,16.72,19.927,16.22,30.757,0.02,0.005,0.009,0.005,4.144,0.006,0.001,0.004,0.575,0.002,0.002,0.002,0,0,0,0,0,0,0.004,23.588,0.056,2.127,0.049,0.089,0.001,0.026,0.002,0.03,0.011,0.031,0.003,0.001,0.015,0.095,0.029,0.002,0.168,0.011,0.002,0.001,0.005,0,0.144,0,0.373,84.128,0,0.006,0.006,0.255,-0.211,210.754
"TTL_C10T12",30.813,0.087,1.513,0.067,0.02,0.203,0.09,0.012,171.531,0.344,0.073,0.021,0.089,0.103,0.044,0.036,0.138,0.001,0.001,0.036,0.007,0.002,0,0.001,0.001,0.001,0.134,3.105,0.175,1.8,34.963,0.461,0.063,0.21,0.027,0.032,50.51,1.404,1.592,0.275,3.276,2.554,0.612,0.157,10.571,2.885,0.417,3.385,0.964,0,249.103,0.005,0.214,1.127,2.168,5.003,0.623,840.876,-207.976,1215.947
"TTL_C13T15",1.58,0.149,1.423,0.391,0.106,1.112,0.375,0.152,0.179,90.226,0.302,0.122,0.042,0.27,0.069,0.251,0.708,0.001,0.001,0.041,0.008,0.004,0,0.021,0.003,0.002,2.978,0.844,0.203,3.35,8.271,0.151,0.002,0.043,0.009,0.093,2.061,0.161,0.11,0.05,0.266,0.848,0.774,0.279,8.138,0.525,0.536,0.862,5.608,0,102.95,0.002,0.018,10.089,0.847,1.728,3.259,291.203,-202.096,341.699
"TTL_C16",6.148,1.619,0.265,2.337,0.188,3.45,1.253,0.327,1.085,0.972,73.72,0.323,0.041,0.422,0.063,0.115,2.334,0.002,0.003,0.164,0.019,0.016,0.001,0.017,0.015,0.003,15.212,15.27,0.502,132.434,12.546,0.614,0.002,0.046,0.064,0.052,1.39,0.549,0.323,0.08,0.355,13.829,1.882,0.5,3.342,0.898,0.225,0.601,6.198,0,21.261,0,0.017,0.327,0.058,0.193,0.319,32.416,-45.639,310.768
