"","A01","A02","A03","B05","B06","B07","B08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24A","C24B","C25","C26","C27","C28","C29","C301","C302T309","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO","TOTAL"
"TTL_A01",3689.344,30.291,77.506,0.031,6.497,0.01,1.727,1.261,1454.092,121.894,0.47,0.647,0.337,23.658,17.15,7.227,0.022,0.009,0.006,0.075,0.661,0.23,1.685,1.14,0.038,0.026,4.543,18.376,1.721,18.425,192.096,2.489,1,0.399,1.735,0.152,556.848,1.938,0.542,0.225,1.158,2.84,5.713,14.142,40.176,29.489,36.277,6.772,21.911,0,6356.517,0.292,25.567,46.483,1.884,4.248,0.054,29.361,-260.358,12599.05
"TTL_A02",44.086,171.903,2.555,0.194,6.282,0.017,0.953,0.094,8.207,2.364,21.156,12.261,0.205,1.661,0.282,4.638,0.073,0.036,0.012,0.044,0.056,0.054,0.235,0.166,0.024,0.005,12.836,37.595,0.093,7.967,15.18,0.149,0.052,0.058,0.093,0.02,5.45,0.312,0.193,0.108,0.087,0.449,0.141,0.341,5.284,1.634,0.678,0.73,0.793,0,473.878,0.255,3.052,3.955,0.171,0.055,0.001,9.205,-2.038,856.338
"TTL_A03",4.611,0.47,437.014,0.007,0.193,0.006,0.179,0.005,208.875,0.287,0.001,0.01,0.11,0.238,0.165,0.016,0.004,0.002,0.002,0.025,0.053,0.046,0.108,0.03,0.009,0.001,0.051,0.173,0.069,0.271,13.405,0.124,0.428,0.089,0.129,0.001,191.789,0.438,0.123,0.156,0.444,0.516,0.204,0.143,12.24,2.886,4.272,0.438,1.23,0,1156.144,0.108,1.209,0.029,0.086,0.239,0.003,4.973,-2.669,2042.207
"TTL_B05",0.09,0.004,0.012,0.039,1.253,0.004,0.147,0.21,0.043,0.025,0.001,0.016,1.864,0.096,0.008,0.01,0.028,0.162,0.019,0.007,0.024,0.017,0.027,0.053,0.002,0.001,0.009,12.174,0.015,0.606,0.12,0.024,0.003,0.013,0.011,0.002,0.027,0.008,0.008,0.003,0.008,0.036,0.009,0.008,0.06,0.043,0.016,0.003,0.016,0,39.938,0,0.024,0.159,0.031,0.009,0,0.226,-1.484,56.29
"TTL_B06",0.325,0.024,0.121,0.099,98.812,0.034,1.749,2.51,0.262,0.146,0.006,0.286,670.467,4.701,0.053,0.155,0.156,0.38,0.122,0.218,0.182,0.235,1.988,1.144,0.044,0.027,0.16,148.948,0.202,1.039,2.18,0.67,0.16,0.832,0.327,0.043,0.116,0.093,0.084,0.054,0.155,0.243,0.221,0.227,0.96,0.343,0.138,0.029,0.094,0,218.79,0.002,2.012,7.174,2.076,0.147,0,41936.487,-37.762,43070.492
"TTL_B07",0.23,0.003,0.014,0.056,7.59,0.556,3.647,2.636,0.07,0.061,0.001,0.017,5.252,1.361,0.044,0.069,0.226,5.916,3.905,0.481,0.066,0.12,0.289,0.229,0.004,0.002,0.108,3.703,0.036,2.874,0.155,0.044,0.003,0.019,0.021,0.003,0.037,0.019,0.013,0.009,0.022,0.043,0.043,0.035,0.075,0.036,0.032,0.006,0.052,0,2.431,0,0.028,0.168,0.028,0.029,0,14.838,-1.235,56.52
"TTL_B08",138.017,2.986,16.466,4.941,912.956,5.832,1854.833,307.674,19.089,7.495,0.09,14.862,605.911,297.466,4.314,7.172,197.726,70.875,13.408,11.641,8.022,16.629,23.264,16.4,0.505,0.335,24.393,537.322,22.479,3082.107,26.596,7.765,0.834,4.096,2.623,0.228,7.124,0.516,0.742,0.168,0.466,46.033,3.2,23.754,62.862,4.481,2.024,0.857,4.976,0,178.276,0.007,0.586,15.971,8.4,0.029,0.01,1860.257,-14.243,10473.847
"TTL_B09",1.039,0.018,4.833,2.986,4844.952,1.497,114.66,600.022,0.213,0.033,0.005,0.592,166.673,0.238,0.028,0.232,0.641,0.494,0.205,0.034,0.033,0.069,0.177,0.045,0.001,0.002,0.021,69.858,0.211,16.508,0.216,0.831,0.192,0.674,0.388,0.152,0.136,0.482,0.018,0.01,0.132,0.412,0.394,0.056,0.602,0.187,0.083,0.007,0.049,0,2.042,0,3.768,47.74,-0.22,0.017,0,277.874,-33.362,6129.2
"TTL_C10T12",101.905,0.175,6.95,0.067,15.006,0.069,2.207,1.857,32.108,8.955,0.11,2.247,13.019,33.208,5.53,9.829,0.245,0.165,0.077,0.816,3.269,2.348,2.426,6.793,0.233,0.087,2.79,1.691,1.366,5.629,13.488,0.462,0.343,0.503,0.528,0.064,65.648,2.2,0.426,0.449,0.753,1.348,1.417,1.612,5.049,5.973,6.728,1.079,4.171,0,4323.258,0.284,1.491,0.967,1.217,13.739,0.167,67.105,-1192.346,3589.297
"TTL_C13T15",3.099,0.085,1.247,0.022,4.829,0.011,0.502,0.552,1.05,106.026,0.014,0.731,0.721,1.107,0.27,0.833,0.069,0.041,0.01,0.201,0.524,0.438,1.699,5.401,0.103,0.059,2.885,1.081,0.255,2.68,7.099,0.311,0.054,0.313,0.255,0.145,2.283,0.451,0.32,0.168,0.468,0.541,0.884,1.315,5.109,1.397,2.698,0.687,2.579,0,1277.551,0.051,0.205,6.124,2.202,4.746,0.133,2.072,-240.381,1216.325
"TTL_C16",0.211,0.018,0.021,0.002,0.302,0.001,0.038,0.037,0.068,0.069,0.071,0.085,0.113,0.127,0.024,0.048,0.006,0.006,0.002,0.031,0.052,0.048,0.104,0.233,0.013,0.004,0.515,0.136,0.037,1.695,0.283,0.043,0.009,0.053,0.029,0.003,0.055,0.04,0.017,0.012,0.025,0.082,0.053,0.041,0.088,0.053,0.048,0.01,0.073,0,25.584,0.001,0.1,0.965,0.318,0.53,0.003,37.657,-17.248,53.045
"TTL_C17_18",1.678,0.042,0.318,0.005,3.059,0.01,0.289,0.284,4.207,2.273,0.052,20.033,0.57,1.713,1.638,0.764,0.145,0.038,0.02,0.369,1.484,1.033,1.578,2.184,0.03,0.039,1.676,1.139,0.253,2.048,11.767,0.453,0.126,0.258,0.496,0.323,1.721,13.561,1.081,1.632,3.856,0.617,3.359,2.758,6.323,6.525,2.699,0.471,1.6,0,238.801,0.002,0.483,0.832,0.288,1.798,0.015,1.361,-127.904,224.274
"TTL_C19",84.137,5.847,45.302,1.236,307.295,1.164,34.765,46.867,7.794,6.46,0.379,3.835,520.573,57.735,2.946,2.103,1.406,4.277,0.537,2.921,3.375,7.514,8.81,24.382,0.387,0.354,4.99,200.982,11.665,66.462,167.934,210.587,55.46,357.785,27.252,7.067,12.448,7.899,9.25,4.881,19.633,6.806,13.033,23.752,79.809,21.981,15.409,3.631,13.442,0,2446.285,0.039,0.891,2.908,4.964,3.175,0.056,861.298,-1958.305,3885.868
"TTL_C20",90.452,0.712,4.098,0.3,68.074,0.309,9.234,9.078,6.182,23.712,0.389,7.338,80.258,110.69,15.458,33.774,0.906,0.835,0.286,2.868,11.135,8.369,8.296,24.53,0.803,0.304,9.251,18.531,5.044,22.227,22.569,15.216,4.077,25.384,2.947,0.555,4.115,4.882,0.934,1.053,2.115,3.371,4.339,5.559,9.775,6.199,12.22,0.881,11.551,0,941.809,0.056,0.547,1.462,1.137,1.318,0.019,195.784,-594.151,1259.168
"TTL_C21",3.603,0.014,0.178,0.007,2.211,0.009,0.173,0.142,0.43,0.352,0.005,0.071,0.482,1.309,14.217,0.289,0.014,0.013,0.004,0.04,0.182,0.1,0.282,0.324,0.01,0.006,0.214,0.252,0.131,0.424,1.127,0.1,0.031,0.123,0.06,0.015,0.235,0.143,0.09,0.077,0.157,0.139,1.176,0.142,3.004,0.783,37.507,0.122,0.419,0,545.677,0.091,46.718,1.671,0.577,0.822,0.013,0.826,-287.008,380.322
"TTL_C22",4.706,0.121,0.626,0.064,15.724,0.033,1.017,1.051,5.525,5.846,0.068,1.515,1.648,3.881,2.414,9.876,0.131,0.07,0.047,1.289,6.899,6.424,8.979,35.728,0.222,0.401,4.116,1.042,1.072,20.426,23.275,3.261,0.183,0.435,0.712,0.127,0.986,0.991,0.462,0.182,0.612,1.29,1.175,1.629,1.625,1.34,1.597,0.228,1.169,0,276.472,0.001,0.31,3.403,1.121,0.16,0,2.545,-206.53,259.723
"TTL_C23",3.889,0.093,0.163,0.036,20.035,0.086,2.7,1.434,4.671,0.559,0.085,0.105,1.249,1.881,1.436,1.335,3.584,0.679,0.101,1.194,5.53,3.595,3.302,13.916,0.314,0.111,2.034,2.747,1.066,206.027,6.746,0.512,0.281,0.224,0.419,0.041,1.879,0.131,0.17,0.053,0.433,8.62,1.299,0.739,1.96,2.608,1.124,0.227,1.426,0,241.243,0.001,0.036,3.46,1.138,0.112,0,13.375,-123.81,448.405
"TTL_C24A",0.991,0.06,0.176,0.113,77.113,0.081,0.696,2.268,0.231,0.416,0.035,0.134,2.51,0.53,0.099,1.036,0.239,17.253,0.399,37.338,7.682,13.55,74.61,80.101,2.68,2.169,4.538,4.271,2.696,60.396,4.616,0.787,0.255,0.851,0.491,0.026,0.1,0.061,0.068,0.029,0.121,0.903,0.91,0.336,0.821,0.431,0.155,0.092,0.293,0,9.954,0.001,0.928,2.103,0.481,0.021,0,18.192,-231.615,205.821
"TTL_C24B",0.996,0.01,0.032,0.005,2.066,0.006,0.137,0.146,0.14,0.308,0.007,0.101,0.708,1.399,0.198,0.44,0.02,0.241,0.628,1.449,1.731,2.846,2.747,3.905,0.075,0.092,0.723,0.312,0.261,1.699,0.584,0.103,0.027,0.126,0.038,0.005,0.064,0.065,0.018,0.015,0.034,0.087,0.082,0.074,0.18,0.09,0.167,0.016,0.152,0,27.64,0.001,0.136,1.435,0.341,0.031,0,41.2,-50.16,45.98
