"","A01","A02","A03","B05","B06","B07","B08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24A","C24B","C25","C26","C27","C28","C29","C301","C302T309","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO","TOTAL"
"TTL_A01",4653.454,25.842,74.608,0.008,0.009,0.23,2.504,0.016,11046.989,256.885,1.6,2.285,0.025,153.332,40.042,21.4,1.493,0.733,0.235,0.628,0.312,1.333,0.313,7.834,0.058,0.09,7.749,23.026,1.413,48.039,305.454,4.083,0.522,0.747,3.065,0.181,437.414,1.794,1.167,0.214,2.852,2.654,17.197,82.564,78.546,58.788,88.891,11.889,20.804,0,5377.522,0.18,86.065,682.469,35.285,14.527,61.589,2981.428,-3564.265,23166.11
"TTL_A02",234.544,631.722,9.34,0.152,0.022,0.806,3.982,0.002,170.193,18.085,280.737,115.722,0.005,44.185,2.676,57.112,5.491,0.961,0.407,0.421,0.018,0.456,0.12,1.397,0.068,0.025,76.339,161.902,0.22,79.908,83.804,0.549,0.094,0.095,0.477,0.051,16.56,1.058,1.205,0.386,0.634,2.021,1.351,8.225,43.87,13.492,6.527,5.538,8.238,0,379.733,0.134,10.424,47.276,1.718,0.187,0.394,3.477,-36.235,2498.303
"TTL_A03",10.838,0.262,173.149,0.002,0.002,0.066,0.454,0.002,438.941,1.674,0.108,0.286,0.009,3.852,0.491,0.405,1.436,0.949,0.279,0.638,0.124,0.766,0.104,3.866,0.857,0.26,0.435,2.629,0.157,9.488,9.188,0.428,0.426,1.174,0.414,0.037,38.451,0.221,0.25,0.069,0.498,0.899,0.399,0.744,7.655,2.41,3.335,0.296,0.812,0,708.752,0.001,0.308,94.192,-2.25,0.789,19.147,232.869,-47.344,1726.703
"TTL_B05",1.917,0.044,0.035,0.484,0.028,2.171,6.147,0.088,4.402,1.754,0.036,1.969,1.823,32.845,0.213,0.824,25.843,87.548,7.318,0.176,0.035,0.761,0.065,1.301,0.029,0.055,0.126,839.569,0.218,12.926,1.707,0.536,0.006,0.048,0.212,0.009,0.284,0.027,0.109,0.017,0.083,0.293,0.141,0.254,4.278,2.992,0.487,0.031,1.203,0,61.954,0,0.002,0.256,0.331,0.031,0.018,0.502,-1095.827,10.736
"TTL_B06",4.397,0.188,3.018,0.025,0.097,0.873,4.019,0.066,3.616,0.764,0.06,1.011,9.103,41.845,0.423,0.795,4.951,4.298,1.187,0.753,0.08,1.086,0.091,3.669,0.021,0.044,0.64,141.662,0.441,8.143,11.096,11.079,1.058,11.207,2.056,0.281,0.482,0.318,0.624,0.19,1.764,0.383,1.37,2.794,7.139,2.142,1.359,0.23,0.998,0,155.952,0,3.299,1.984,1.23,0.505,0.024,0.894,-432.454,25.367
"TTL_B07",2.266,0.023,0.253,0.053,0.033,31.739,32.882,0.158,2.708,0.547,0.015,0.409,0.414,51.426,0.52,0.998,49.747,244.565,170.034,6.56,0.149,2.272,0.237,3.508,0.016,0.025,1.024,20.682,0.289,72.653,1.012,0.309,0.012,0.179,0.157,0.008,0.157,0.052,0.092,0.019,0.092,0.494,0.426,1.521,1.33,0.319,0.276,0.044,0.343,0,3.258,0,0.007,25.436,0.019,0.099,0.15,384.415,-60.4,1056.029
"TTL_B08",34.951,0.499,5.635,0.181,0.148,13.829,454.872,0.69,30.837,2.653,0.05,6.655,1.786,385.446,1.972,4.049,938.231,122.305,24.399,6.319,0.529,9.38,0.603,7.853,0.061,0.095,6.886,108.663,3.374,1499.464,6.918,1.559,0.108,0.132,0.809,0.024,1.074,0.049,0.188,0.016,0.105,7.719,1.217,30.861,24.769,1.645,0.695,0.238,0.813,0,3.783,0,0.008,8.915,0.211,0.099,0.166,1277.282,-1056.092,3985.726
"TTL_B09",0.209,0.003,0.951,0.062,0.454,2.783,15.975,0.75,0.214,0.035,0.002,0.159,0.288,1.436,0.022,0.097,2.672,6.899,4.677,0.187,0.006,0.078,0.01,0.141,0.001,0.004,0.032,8.492,0.042,5.84,0.118,0.169,0.015,0.104,0.093,0.018,0.02,0.052,0.009,0.003,0.041,0.05,0.127,0.078,0.177,0.056,0.03,0.003,0.028,0,0.554,0,0.012,0.263,0.06,0.057,0.008,24.287,-23.845,55.102
"TTL_C10T12",1756.778,1.052,213.091,0.013,0.019,0.473,4.504,0.027,3878.131,57.615,0.229,9.842,0.151,269.241,47.181,5.768,4.11,1.241,0.908,2.026,0.612,4.204,0.484,8.212,0.094,0.162,5.645,7.528,1.55,18.979,328.326,5.258,2.671,3.33,6.282,0.743,969.659,15.116,9.948,3.809,20.845,6.99,15.186,40.256,135.831,169.441,146.237,25.605,35.684,0,16613.792,0.001,0.674,7.517,17.948,46.984,205.701,3525.215,-3511.999,25146.92
"TTL_C13T15",7.974,0.333,17.783,0.012,0.015,0.521,1.768,0.02,11.085,1758.884,0.295,17.505,0.023,38.218,3.695,21.092,9.527,1.469,0.353,3.522,0.941,7.274,0.941,129.348,0.485,0.686,39.803,1.843,0.496,37.083,55.301,1.617,0.123,0.751,1.592,0.349,11.307,1.934,1.106,0.501,3.446,1.763,7.329,22.148,32.89,10.257,25.707,4.384,17.928,0,2417.071,0,0.058,105.266,49.637,16.123,146.663,3722.796,-2888.973,5882.065
"TTL_C16",9.132,1.186,1.183,0.019,0.008,0.497,1.723,0.012,12.824,6.39,22.347,13.522,0.007,18.938,1.091,3.505,9.658,0.772,0.569,4.066,0.668,6.908,0.549,36.376,0.736,0.274,72.1,7.3,0.367,394.558,25.711,1.479,0.042,0.244,3.251,0.053,2.709,1.588,0.841,0.22,1.367,13.168,6.826,9.661,4.683,5.354,3.776,1.04,7.13,0,32.066,0.001,0.039,128.394,16.493,1.818,4.511,83.9,-455.551,528.099
"TTL_C17_18",10.961,0.156,3.365,0.006,0.016,0.692,1.568,0.019,136.641,26.906,0.993,364.466,0.041,58.554,23.932,12.978,20.061,1.771,1.115,6.216,3.391,21.719,1.488,39.467,0.128,0.42,15.844,7.668,1.301,29.803,119.16,4.175,0.411,1.585,5.283,2.157,9.242,73.803,12.458,9.622,56.675,3.29,55.705,90.646,86.058,88.269,35.08,5.435,22.915,0,451.904,0,0.073,14.481,5.364,6.155,20.907,205.35,-728.113,1449.773
"TTL_C19",252.896,11.502,184.244,0.525,0.605,31.869,97.81,1.224,124.027,29.668,2.766,24.189,18.035,905.693,17.95,19.184,78.005,85.186,11.528,18.772,2.929,51.064,3.053,153.25,0.633,1.28,26.862,476.398,17.409,373.555,542.116,674.596,63.824,685.328,103.314,15.986,24.609,16.041,34.745,10.133,98.397,13.511,63.541,146.311,363.939,101.501,73.262,12.783,56.922,0,3218.619,0.001,0.431,2.831,17.114,10.871,0.005,0.125,-9322.437,50.529
"TTL_C20",539.986,1.648,14.719,0.217,0.263,14.494,44.977,0.436,139.859,201.01,5.609,105.226,3.73,3378.796,178.387,473.417,95.608,25.764,11.68,36.525,18.828,112.449,5.691,306.171,2.577,2.177,65.534,45.335,25.915,222.078,95.102,25.653,2.754,26.655,11.821,0.843,17.509,18.875,3.714,3.506,11.589,20.542,47.721,105.577,54.356,51.262,109.537,5.684,44.518,0,2124.494,0.001,5.022,9.456,1.028,4.504,19.858,8505.564,-4880.164,12526.088
"TTL_C21",20.651,0.034,1.173,0.006,0.008,0.48,0.814,0.006,9.099,4.371,0.091,1.888,0.047,50.396,143.881,5.61,1.284,0.534,0.199,0.586,0.313,1.68,0.17,4.825,0.047,0.109,2.161,1.466,0.521,4.599,6.246,0.724,0.077,0.597,0.358,0.074,0.499,1.355,0.434,0.207,1.639,0.412,9.995,2.782,25.996,7.804,287.818,0.852,3.901,0,833.228,0.002,283.259,16.688,8.712,2.789,26.221,314.22,-696.632,1397.306
"TTL_C22",36.619,0.597,6.604,0.067,0.076,2.304,7.179,0.068,155.234,76.694,1.276,30.16,0.154,157.565,33.301,163.733,19.827,3.584,2.501,19.966,13.823,105.715,7.45,545.267,0.882,3.487,36.465,6.203,6.048,290.711,184.308,25.957,0.532,2.138,6.744,0.721,4.954,4.959,4.238,0.908,8.116,10.886,16.472,38.777,18.633,15.738,18.31,2.249,9.822,0,475.722,0,0.158,33.485,13.019,0.551,0.369,446.072,-1547.553,1529.844
"TTL_C23",28.665,0.472,1.837,0.04,0.097,5.733,23.089,0.1,76.116,7.431,1.487,2.528,0.16,76.819,18.602,22.151,524.893,32.865,5.294,18.294,10.77,57.07,2.763,204.157,1.157,0.962,17.583,17.63,8.254,2679.401,50.79,5.296,0.867,2.501,3.965,0.252,8.671,0.736,1.75,0.267,5.122,61.359,14.294,19.308,21.853,28.376,11.951,2.147,10.558,0,105.702,0,0.081,34.036,5.954,0.384,0.065,275.136,-771.497,3746.348
