"","A01","A02","A03","B05","B06","B07","B08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24A","C24B","C25","C26","C27","C28","C29","C301","C302T309","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO","TOTAL"
"TTL_A01",6854.934,106.839,5.44,0.187,0.768,0,8.016,0.374,43999.506,335.133,76.386,57.901,36.005,438.955,207.369,187.982,43.94,56.661,30.506,46.857,19.996,29.336,74.549,138.471,2.416,9.365,75.671,557.464,51.705,384.615,965.44,49.933,10.789,4.002,73.119,9.124,2618.754,11.504,19.358,16.507,34.554,166.865,136.134,246.787,217.79,118.097,686.718,65.997,129.638,0,52037.601,29.554,159.113,1272.928,70.948,586.402,105.939,7973.609,-44444.669,77209.882
"TTL_A02",95.916,698.264,0.185,0.121,0.046,0,0.873,0.009,213.597,5.718,2757.599,241.591,0.431,28.723,3.95,110.498,5.967,1.912,1.588,1.996,0.626,1.368,4.488,4.253,0.311,0.367,137.261,125.68,0.84,52.984,71.151,1.347,0.472,0.129,2.011,0.39,28.256,0.886,0.587,1.171,0.644,3.863,2.893,6.577,19.656,4.913,12.719,6.135,3.885,0,2452.53,0.007,0.27,13.582,8.847,7.566,0.011,1106.669,-975.232,7279.097
"TTL_A03",1.803,0.151,3.386,0.001,0.006,0,0.058,0.004,467.447,0.145,0.153,0.213,0.405,1.268,0.332,0.405,0.181,0.221,0.147,0.263,0.157,0.271,0.499,0.572,0.438,0.152,0.302,0.348,0.115,0.54,6.235,0.506,3.707,0.098,1.916,0.103,57.872,0.136,0.08,0.175,0.223,0.257,0.568,0.602,2.721,0.59,4.368,0.283,0.418,0,613.865,0.014,0.224,4.085,1.737,32.883,3.655,176.799,-669.938,724.162
"TTL_B05",8.028,0.487,0.026,3.083,0.522,0,10.982,1.116,46.231,5.406,3.767,35.225,477.782,168.153,3.596,16.015,203.754,1004.773,166.301,7.07,2.312,7.48,14.505,15.789,0.817,2.929,4.017,5318.875,5.242,65.724,22.597,7.993,0.629,0.616,6.722,0.867,7.986,0.769,1.671,1.477,2.748,9.388,5.472,4.574,19.961,11.543,13.563,1.749,6.546,0,949.101,0.001,0.65,11.435,4.052,1.265,0.046,379.773,-7945.076,1128.126
"TTL_B06",26.653,2.854,0.781,2.249,26.129,0,70.712,7.538,281.232,16.091,29.113,210.651,53403.746,3073.895,23.633,132.168,572.948,778.631,517.167,187.378,13.19,40.226,108.437,169.722,4.614,18.614,80.28,19606.619,66.852,153.737,372.967,194.28,54.037,59.778,167.223,21.237,25.979,6.893,6.237,13.486,24.4,62.313,101.355,86.944,132.465,36.924,55.357,8.445,16.81,0,21187.663,0.139,172.526,120.648,81.512,20.05,0.076,164.752,-101725.913,1094.444
"TTL_B07",2.558,0.064,0.015,0.481,0.69,0,52.955,2.592,25.848,1.415,1.077,2.34,148.64,291.387,4.348,8.231,308.81,4485.298,6227.721,261.137,17.715,82.248,104.88,95.588,1.303,7.002,32.738,175.419,10.057,245.213,9.498,3.207,0.34,0.346,3.16,0.307,2.181,0.305,0.306,0.886,0.854,3.016,6.622,5.32,2.622,0.796,1.885,0.56,2.482,0,4.465,0.031,0.275,8.191,0.978,3.908,0,0,-12660.312,0
"TTL_B08",55.451,2.099,0.408,0.499,1.1,0,306.694,3.61,161.588,6.898,6.258,51.411,197.033,815.104,16.353,44.613,3069.586,618.059,252.506,63.809,15.468,42.517,71.192,67.528,1.769,5.435,52.32,291.452,47.836,3051.854,35.555,9.65,4.287,1.176,10.071,0.889,18.2,1.345,1.188,1.391,1.814,66.501,15.245,72.472,41.508,5.262,12.857,2.371,7.409,0,600.022,0.005,6.482,180.791,33.496,3.887,0.889,1621.027,-2345.41,9730.83
"TTL_B09",2.98,0.137,0.802,2.126,37.237,0,136.724,49.081,7.459,0.205,0.936,13.852,407.368,7.688,0.851,6.934,73.692,32.336,27.609,2.066,0.798,1.68,4.639,3,0.069,0.443,1.35,277.811,2.048,114.664,5.692,7.914,2.624,1.938,9.058,2.51,1.345,1.645,0.569,1.113,1.728,4.144,10.612,3.387,4.003,1.112,2.2,0.406,0.554,0,18.589,0.019,96.63,1975.717,1.05,2.273,0,197.231,-1838.898,1731.748
"TTL_C10T12",4113.14,7.843,24.158,0.095,0.331,0,6.461,0.364,25861.133,106.15,23.897,127.346,47.68,1186.02,393.868,163.207,35.159,24.735,23.493,56.627,31.944,51.893,110.037,110.213,3.657,13.524,89.64,49.615,48.633,109.428,1517.256,46.451,71.123,13.326,93.79,14.757,10499.925,63.863,27.748,59.476,82.217,99.542,158.391,207.959,399.334,366.954,1537.001,247.43,154.556,0,190927.846,0.373,741.148,174.227,293.938,1881.166,591.389,58439.152,-62367.676,239162.954
"TTL_C13T15",33.002,3.72,2.374,0.165,0.42,0,4.463,0.475,140.898,2950.373,31.657,204.164,16.719,201.246,48.847,278.178,68.782,27.653,15.906,91.287,44.639,77.3,194.72,904.418,11.427,33.069,560.728,36.685,42.188,212.014,455.568,30.046,6.76,7.204,45.566,25.176,156.591,16.186,11.785,31.33,28.363,33.722,159.159,269.97,275.932,65.098,488.435,89.27,205.925,0,37298.147,0.091,14.03,680.209,305.013,655.668,39.747,13495.959,-36295.271,24833.196
"TTL_C16",116.411,40.435,0.739,0.489,0.607,0,11.971,0.636,472.719,51.408,6883.475,855.343,15.582,381.809,51.524,236.493,295.378,49.714,56.458,314.81,71.692,204.971,358.534,995.252,66.124,50.482,3904.434,245.029,44.823,6745.834,643.914,59.944,6.986,5.394,214.455,7.576,146.83,32.915,15.11,24.399,35.079,492.218,301.404,246.557,73.246,65.116,208.288,40.306,223.903,0,4805.076,0.1,17.704,6613.677,1758.091,72.319,25.755,7973.076,-9360.032,37272.582
"TTL_C17_18",108.584,5.926,1.475,0.212,1.24,0,10.608,0.862,3223.119,154.743,252.973,13156.871,61.616,835.881,687.978,571.802,425.558,89.637,89.429,400.564,273.966,437.607,728.435,855.455,14.197,78.897,688.07,310.925,139.306,474.7,2992.303,154.052,45.792,23.888,328.8,236.716,398.52,2179.567,247.085,682.941,1363.414,296.641,2394.713,2101.712,1610.636,1161.139,1551.944,284.67,444.205,0,18204.36,1.309,58.639,471.464,151.5,244.727,95.941,22262.488,-13423.971,70645.83
