"","A01","A02","A03","B05","B06","B07","B08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24A","C24B","C25","C26","C27","C28","C29","C301","C302T309","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO","TOTAL"
"TTL_A01",358.557,18.047,7.649,0.014,0.003,0.005,0.221,0.021,1197.03,16.539,14.955,1.76,0.672,2.856,4.351,3.729,1.426,0.176,0.075,1.338,0.295,0.897,0.951,0.158,0.265,0.068,2.751,10.799,1.245,11.168,70.707,2.38,0.594,0.181,2.188,0.184,258.774,1.098,0.778,1.646,2.09,1.464,7.151,8.415,13.21,4.269,15.144,11.558,6.622,0,1432.524,0.127,143.065,114.916,16.147,9.527,120.055,829.331,-968.016,3764.151
"TTL_A02",4.917,90.322,0.213,0.026,0.001,0.001,0.055,0.001,6.055,0.396,179.312,5.556,0.032,0.185,0.086,2.051,0.369,0.019,0.012,0.103,0.017,0.052,0.064,0.008,0.036,0.003,3.372,14.191,0.044,3.311,5.37,0.117,0.022,0.006,0.105,0.014,2.738,0.064,0.058,0.086,0.07,0.14,0.195,0.271,1.468,0.203,0.318,1.107,0.411,0,176.309,0.053,0.609,0.292,0.569,0.121,3.187,80.17,-30.842,554.038
"TTL_A03",2.373,0.076,3.204,0.002,0,0.001,0.026,0.003,15.554,0.567,0.33,0.309,0.242,0.212,0.267,0.376,0.35,0.052,0.019,0.428,0.087,0.274,0.244,0.046,0.128,0.015,0.416,0.452,0.1,1.775,1.776,0.443,0.108,0.051,0.152,0.021,9.315,0.083,0.06,0.08,0.09,0.098,0.329,0.263,0.607,0.194,1.068,0.4,0.241,0,110.596,0.001,0.984,3.429,0.461,0.533,8.542,155.482,-18.674,304.664
"TTL_B05",0.043,0.005,0.055,0.075,0.029,0.01,0.562,0.39,0.116,0.028,0.023,0.082,2.746,0.075,0.007,0.032,1.19,0.611,0.123,0.031,0.004,0.021,0.019,0.002,0.007,0.001,0.019,46.52,0.025,0.878,0.112,0.067,0.006,0.003,0.035,0.006,0.071,0.009,0.008,0.01,0.011,0.027,0.055,0.016,0.108,0.03,0.032,0.017,0.04,0,0.331,0,0.054,0.128,0.049,0.021,0.028,2.456,-44.664,12.794
"TTL_B06",0.376,0.069,0.197,0.245,0.18,0.049,2.374,0.408,3.776,0.318,0.84,2.491,1242.366,8.954,0.2,1.219,16.925,3.472,2.162,3.291,0.086,0.506,0.7,0.099,0.247,0.056,1.855,1099.107,1.234,4.305,11.569,3.742,0.442,0.331,2.932,0.227,1.082,0.159,0.142,0.295,0.492,0.896,2.343,1.233,4.002,0.611,0.635,0.435,0.413,0,3.559,0,0.12,3.225,2.912,0.334,0.023,0.627,-2437.29,3.598
"TTL_B07",0.017,0.001,0.004,0.009,0.002,0.043,0.277,0.03,0.069,0.007,0.01,0.012,0.576,0.136,0.008,0.019,1.46,2.774,3.278,0.858,0.027,0.245,0.147,0.015,0.02,0.006,0.119,1.633,0.042,1.372,0.086,0.027,0.003,0.002,0.016,0.002,0.025,0.005,0.006,0.013,0.012,0.014,0.061,0.022,0.029,0.004,0.011,0.012,0.018,0,0.08,0,0.032,0.113,0.05,0.066,0.028,2.633,-9.233,7.352
"TTL_B08",3.211,0.268,0.418,0.053,0.015,0.031,7.454,0.224,7.565,1.65,1.139,1.291,4.531,2.394,0.778,1.232,72.237,2.109,0.719,2.08,0.324,1.202,0.929,0.142,0.285,0.047,1.718,14.359,0.934,85.478,3.171,1.344,0.226,0.151,0.469,0.054,4.569,0.179,0.159,0.175,0.221,1.198,1.18,1.206,2.07,0.358,2.521,0.7,0.627,0,37.706,0.003,2.785,12.24,0.339,0.061,3.781,48.47,-81.909,258.871
"TTL_B09",0.266,0.031,1.154,0.569,0.611,0.156,10.734,5.675,0.338,0.032,0.107,0.454,23.958,0.059,0.026,0.175,5.363,0.335,0.237,0.132,0.013,0.071,0.113,0.008,0.014,0.005,0.476,39.982,0.161,8.973,0.379,0.8,0.143,0.117,0.459,0.091,0.185,0.14,0.053,0.053,0.074,0.147,0.803,0.152,0.355,0.047,0.101,0.074,0.066,0,1.155,0,0.076,0.412,0.38,0.038,0.067,19.796,-81.852,44.539
"TTL_C10T12",333.835,2.105,39.881,0.029,0.006,0.011,0.59,0.044,1072.806,12.46,2.854,7.407,3.091,9.913,11.46,4.027,3.131,0.328,0.223,3.033,0.603,2.111,1.882,0.302,0.543,0.104,4.784,7.343,2.84,13.581,137.874,5.602,3.092,0.559,5.518,0.845,1013.742,6.957,2.78,5.155,6.253,4.137,14.491,15.193,40.339,19.779,51.532,41.24,16.341,0,4843.778,0.007,13.481,26.181,17.732,30.777,377.029,1398.126,-3517.268,6122.597
"TTL_C13T15",4.32,0.912,3.01,0.049,0.011,0.027,0.396,0.056,11.324,392.279,4.794,7.598,1.461,1.854,2.3,6.656,5.423,0.466,0.216,5.314,1.477,3.141,3.36,2.386,1.556,0.269,38.1,8.406,2.717,21.711,51.576,4.083,0.555,0.38,3.008,1.006,25.499,2.543,1.401,1.483,2.394,1.605,12.266,16.028,28.757,5.926,22.741,21.952,19.194,0,967.765,0.004,5.502,21.016,19.567,10.694,79.366,772.516,-1117.519,1512.896
"TTL_C16",11.025,4.054,1.257,0.086,0.008,0.024,0.688,0.058,30.323,7.888,322.015,16.914,2.502,3.194,2.796,6.708,15.154,0.749,0.436,13.022,1.512,6.771,5.871,1.344,5.823,0.362,75.783,18.126,2.07,313.772,38.536,6.765,0.758,0.53,7.215,0.28,21.558,2.017,1.006,1.235,1.551,9.802,14.931,7.437,6.498,2.532,11.783,6.47,10.114,0,160.778,0.01,10.105,43.569,6.004,1.176,22.473,662.498,-291.31,1636.657
"TTL_C17_18",7.436,0.691,1.588,0.027,0.009,0.021,0.462,0.051,93.44,12.332,12.834,376.332,2.545,4.745,11.212,9.892,21.195,0.658,0.494,11.675,2.846,9.962,7.203,0.925,1.181,0.338,17.577,15.586,3.786,27.023,131.387,8.525,1.484,0.589,9.131,4.239,34.055,55.74,8.641,24.919,35.003,4.388,99.88,50.948,63.863,25.437,32.442,25.203,24.26,0,492.697,0.012,5.743,19.816,7.163,4.037,41.744,352.902,-732.734,1485.578
"TTL_C19",66.718,13.775,31.363,0.724,0.127,0.371,10.016,1.235,97.77,26.365,27.09,23.143,328.054,48.318,13.723,23.455,48.028,9.6,2.5,29.399,5.039,20.406,14.984,3.051,4.797,0.903,43.317,509.454,26.708,165.272,258.067,425.026,119.15,102.614,74.473,11.425,80.246,9.637,12.265,16.264,34.994,12.396,79.361,66.622,102.891,14.747,57.655,31.592,30.624,0,788.013,0.119,45.473,121.003,5.815,7.13,63.474,649.05,-1621.284,3194.544
"TTL_C20",165.872,2.949,3.173,0.493,0.072,0.285,7.546,0.593,88.083,52.949,54.002,85.205,75.391,191.866,67.445,252.756,81.28,4.349,3.446,49.142,11.556,43.122,21.622,5.164,12.753,1.162,58.3,34.258,28.448,130.871,61.144,9.617,1.8,1.039,12.006,0.562,46.889,10.085,1.331,6.378,3.718,12.608,40.402,31.519,22.338,9.652,82.342,16.52,47.202,0,781.551,0.007,24.159,17.16,16.496,2.966,6.733,409.198,-2513.283,696.293
"TTL_C21",18.049,0.188,0.92,0.043,0.008,0.028,0.476,0.039,13.751,3.524,2.842,4.355,4.804,13.108,117.835,12.124,4.022,0.287,0.206,2.682,0.706,2.333,1.762,0.29,0.666,0.075,4.358,3.576,2.719,7.633,10.746,1.375,0.303,0.149,1.088,0.14,6.019,0.752,0.306,0.789,0.617,0.828,17.319,2.679,25.859,2.958,419.237,5.295,6.69,0,596.279,0.014,587.28,16.945,9.403,1.854,3.727,619.671,-1618.076,943.656
