"","A01","A02","A03","B05","B06","B07","B08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24A","C24B","C25","C26","C27","C28","C29","C301","C302T309","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO","TOTAL"
"TTL_A01",74779.371,729.474,48.606,3.371,32.701,1.71,8.438,2.685,244020.024,1261.74,765.633,104.3,10.732,986.888,750.978,567.622,9.34,2.31,2.514,8.955,8.138,3.681,35.538,33.355,1.405,8.152,179.08,162.945,55.649,689.944,9434.576,113.147,14.435,4.136,65.436,7.285,52185.807,78.16,19.382,17.162,74.636,395.058,1051.573,1513.491,2681.544,1303.299,5182.226,586.576,834.92,0,212576.906,517.39,0.473,98.44,208.618,1567.22,426.017,65992.048,-51305.832,630919.405
"TTL_A02",653.615,2244.103,0.905,10.943,19.423,1.665,2.56,0.076,767.453,12.704,7209.622,661.867,0.791,47.507,8.773,242.507,11.813,2.523,2.073,2.45,0.286,0.444,2.963,2.663,0.552,0.803,297.692,208.093,1.209,209.583,448.729,3.267,0.483,0.252,2.069,0.42,336.258,7.112,4.012,5.372,3.447,42.151,14.444,25.652,245.703,49.752,66.658,37.577,34.3,0,14849.907,150.645,0.067,48.963,5.547,22.263,0.025,1290.846,-3873.05,26450.533
"TTL_A03",23.876,1.913,92.259,0.145,1.362,0.209,0.239,0.021,8300.546,0.37,0.309,0.459,0.978,2.989,1.752,0.705,0.382,0.226,0.215,0.647,0.218,0.202,0.632,0.465,0.271,0.236,0.524,0.461,0.274,2.689,179.46,2.043,4.171,0.243,2.951,0.091,3857.341,3.326,0.933,2.532,5.635,15.058,6.209,3.42,171.368,26.86,122.228,6.878,13.061,0,6908.574,42.877,0.008,4.275,7.225,96.871,10.609,2385.951,-15796.516,6519.255
"TTL_B05",51.576,2.362,0.152,418.917,479.784,40.782,40.222,38.481,138.844,11.553,8.132,95.255,2046.457,293.826,6.161,31.046,466.826,1924.388,306.992,10.866,2.089,5.181,14.052,16.93,1.96,12.526,6.004,12957.678,10.056,717.799,130.599,31.915,0.514,1.316,17.128,1.676,47.221,5.173,15.351,4.489,21.679,490.661,48.845,22.127,405.155,128.508,83.48,6.388,50.899,0,18.116,0.709,0.033,5851.996,0.34,3.809,0.01,13417.78,-461.32,40501.495
"TTL_B06",1337.669,80.35,34.976,608.574,44951.12,457.205,800.07,833.579,2743.208,118.636,278.17,1531.424,460643.678,13736.478,199.208,773.971,3251.794,3524.119,2182.671,1054.101,75.213,125.611,371.039,864.442,31.587,242.473,376.688,97219.223,479.417,3239.622,9710.059,7263.486,701.687,2661,1246.527,305.473,1202.682,303.544,266.148,375.681,1055.687,2669.84,2106.796,1946.822,6811.557,1427.372,1911.932,254.969,600.477,0,15958.877,3.662,0.413,23691.18,10.843,29.63,115.74,177625.119,-188381.39,714042.128
"TTL_B07",21.136,0.533,0.107,46.165,391.474,873.276,175.266,58.339,87.68,4.093,3.291,8.037,445.071,517.92,11.419,21.192,691.063,8228.601,11291.735,586.573,34.599,72.131,130.605,156.905,3.453,35.249,67.326,303.59,21.124,1234.964,91.334,17.811,0.485,1.429,9.101,1.014,31.867,6.111,8.343,9.828,21.693,190.596,66.025,30.671,105.289,21.494,30.898,5.304,21.159,0,18.255,0.442,0.149,2085.398,0.909,12.043,0.007,9919.664,-3762.406,34467.828
"TTL_B08",657.848,11.285,3.064,78.103,1284.831,160.48,1619.92,145.081,641.961,43.046,26.572,262.977,957.263,2588.614,100.173,341.829,10621.362,1700.216,655.116,196.936,29.023,47.668,90.372,114.291,5.087,21.409,174.778,779.713,133.34,20343.021,315.39,58.431,4.151,2.464,33.276,2.734,155.171,23.325,19.451,9.824,30.602,1663.727,163.819,492.267,1005.297,99.175,215.879,21.187,74.717,0,835.751,1.271,0.087,7637.615,3.524,11.454,1.317,2273.556,-6083.596,52907.245
"TTL_B09",55.882,3.645,2.903,134.428,12123.063,123.964,308.364,687.272,69.293,2.968,10.614,36.926,877.196,46.042,7.316,25.535,197.437,66.588,43.763,120.43,12.298,12.56,81.173,95.852,5.505,27.148,26.296,371.083,19.824,1911.021,234.337,54.741,3.407,7.854,40.489,7.239,69.438,22.666,40.65,15.644,64.399,1231.444,156.057,63.82,650.562,115.548,146.814,16.077,28.731,0,316.966,2.393,0.239,44724.572,9.369,6.612,0.716,1828.476,-3726.442,63639.207
"TTL_C10T12",23749.497,21.377,104.292,7.941,139.048,10.165,19.262,6.929,73351.166,164.633,68.485,327.96,160.633,1908.486,838.38,376.828,78.062,47.314,38.913,121.907,67.323,40.203,128.333,179.42,9.776,68.081,169.901,71.939,77.559,463.247,8331.551,193.764,66.607,46.558,132.102,32.534,96328.35,554.378,183.999,288.438,469.104,1077.84,824.711,790.394,3978.887,3191.159,7598.644,1038.856,854.465,0,968789.27,984.672,3.673,1049.887,448.556,4784.054,2628.502,63542.457,-145888.799,1125141.674
"TTL_C13T15",423.683,12.743,13.901,12.378,188.667,19.021,15.732,8.359,397.391,7337.367,106.907,763.498,93.229,981.663,201.119,1050.294,196.72,47.963,30.208,189.439,83.141,57.98,199.721,1639.653,32.226,159.676,1657.128,45.135,62.756,847.621,2868.688,93.392,7.01,18.703,66.775,36.353,1408.628,161.295,54.848,74.25,156.54,447.165,727.695,997.591,2368.708,576.602,2824.933,416.885,956.039,0,187948.661,55.915,2.504,4284.175,591.696,1847.983,370.502,14412.892,-168328.409,72323.338
"TTL_C16",1370.992,250.222,6.42,80.038,413.417,59.921,65.011,21.885,2620.526,158.071,35331.09,4414.547,52.925,1134.51,180.322,786.795,1204.839,124.72,167.017,1237.41,204.245,288.456,728.74,2710.93,307.637,400.221,16380.022,545.32,131.397,56706.308,7515.633,455.581,13.071,30.557,705.158,22.385,2462.48,553.071,147.408,165.695,336.02,7227.976,2783.534,1946.892,1349.059,1106.632,2128.705,417.824,2058.027,0,13170.585,1.262,13.303,23976.196,2004.728,185.783,138.729,6137.611,-32413.007,172724.85
"TTL_C17_18",859.992,19.611,9.324,16.102,541.076,43.629,32.552,19.372,15327.946,562.347,773.943,51164.289,178.812,1875.671,2136.615,1634.007,1226.791,164.819,175.347,1127.231,562.906,430.81,1086.086,1628.998,39.775,395.315,1772.799,338.533,261.248,2434.654,21436.154,736.798,64.025,95.047,637.625,617.288,4624.998,26113.503,1820.503,4495.782,10753.952,3422.122,12625.146,10049.4,19370.123,12128.673,11480.726,1600.043,3824.653,0,62578.522,6.275,9.314,1503.291,122.618,609.33,542.306,25795.812,-32256.014,291648.618
"TTL_C19",18880.967,1075.67,442.771,1003.469,14180.75,1733.168,1658.855,982.891,12056.271,800.583,2071.088,3917.372,50623.341,33416.16,2196.087,5031.45,4540.25,5811.783,1555.291,2732.057,547.276,1067.246,1951.041,5691.009,143.698,919.146,2395.149,18336.157,3791.722,24550.46,70445.985,91732.473,9336.076,35815.63,10061.641,3205.234,10769.028,2880.033,2887.323,3566.675,10978.578,9663.775,14560.748,19093.436,52970.665,9819.386,20134.588,2733.415,6876.729,0,224441.465,39.838,2.632,1203.289,698.761,942.663,1527.212,128511.313,-87903.113,881098.655
"TTL_C20",41043.897,162.579,33.893,438.071,5444.497,845.679,805.921,313.687,14636.553,6038.723,4306.173,14427.173,9899.568,108012.797,16207.235,60101.81,5944.501,1896.454,1689.857,5400.353,2889.108,2413.691,3762.867,11824.421,541.387,1642.738,7251.309,1251.327,2269.484,16103.591,12992.512,2839.313,277.797,930.943,1169.173,145.36,7424.772,4124.907,312.663,1323.128,1198.396,8926.733,12721.694,9685.583,8061.488,5205.306,32254.053,1201.016,8737.064,0,178995.791,105.756,7.377,6263.713,584.778,393.787,597.499,124289.892,-140620.996,637748.844
